Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
CLRN1	"RP61, USH3, USH3A"	ENSG00000163646	"Clarin 1"	P58418	3	150926163-150972727	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Hearing, Sensory transduction, Vision"		"Deafness, Disease variant, Retinitis pigmentosa, Usher syndrome"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	7	"adrenal gland: 4.9;retina: 12.8"	"Cell type enriched"	"Detected in some"	24	"Muller glia cells: 140.8"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Low region specificity"	"Detected in some"			"Not detected"	"Not detected"									NA	NA			"Cluster 8: Neutrophils - Inflammatory response"	"Cluster 77: Retina - Visual perception"	"Cluster 7: Neuronal cell lines - Stereocilium"	"Cluster 68: Muller glia cells - Visual perception"				"unprognostic (1.00e-3)"				"unprognostic (1.26e-1)"					"unprognostic (5.54e-1)"					"unprognostic (9.68e-2)"		
CLTC	"CLTCL2, Hc"	ENSG00000141367	"Clathrin heavy chain"	Q00610	17	59619689-59696956	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"Autophagy, Cell cycle, Cell division, Mitosis"		"Cancer-related genes, Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB010389, CAB011571, CAB017155, HPA059143"	Approved		Supported	"Endosomes,Lysosomes,Mitotic spindle,Cytosol"		Yes	No		14000000	"Cluster 27: Non-specific - Gene expression"	"Cluster 48: Parathyroid gland - membrane proteins"	"Cluster 65: Breast cancer - Unknown function"	"Cluster 12: Non-specific - Chromatin organization"	"Endosomes, Lysosomes"	"Mitotic spindle, Cytosol"	"CAB010389: AB_2083184, CAB011571: AB_2083165, CAB017155: , HPA059143: AB_2683924"	"unprognostic (1.56e-1)"	"prognostic unfavorable (7.35e-4)"	"prognostic favorable (7.65e-4)"	"unprognostic (1.03e-1)"	"unprognostic (2.62e-1)"	"unprognostic (5.23e-3)"	"prognostic unfavorable (5.54e-4)"	"unprognostic (1.11e-1)"	"unprognostic (6.43e-2)"	"unprognostic (1.09e-1)"	"unprognostic (3.34e-2)"	"unprognostic (2.69e-1)"	"unprognostic (1.49e-1)"	"unprognostic (1.18e-1)"	"unprognostic (9.22e-2)"	"unprognostic (1.10e-1)"	"prognostic unfavorable (2.02e-4)"
CNGA1	"CNCG, CNCG1, CNG1, RCNC1, RCNCa, RP49"	ENSG00000198515	"Cyclic nucleotide gated channel subunit alpha 1"	P29973	4	47935977-48016681	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Sensory transduction, Transport, Vision"	"Ion channel, Ligand-gated ion channel"	"Disease variant, Retinitis pigmentosa"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	11	"retina: 264.4"	"Cell type enriched"	"Detected in many"	4	"Rod photoreceptor cells: 925.3"	"Cancer enhanced"	"Detected in many"		"urothelial cancer: 4.5"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Liver - Hepatocytes"	"Region enhanced"	"Detected in single"		"basal ganglia: 1.0"	"Not detected"	"Not detected"			HPA076168			Uncertain	"Nucleoplasm,Vesicles,Plasma membrane"		NA	NA			"Cluster 33: Neutrophils - Chromatin organization"	"Cluster 79: Retina - Phototransduction"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 44: Photoreceptor cells - Visual perception"	"Nucleoplasm, Vesicles"	"Plasma membrane"	"HPA076168: AB_2686781"	"unprognostic (2.68e-2)"	"unprognostic (4.90e-2)"	"unprognostic (1.33e-1)"	"unprognostic (8.59e-2)"	"unprognostic (2.07e-1)"	"unprognostic (1.11e-2)"	"unprognostic (1.76e-2)"	"unprognostic (3.85e-2)"	"unprognostic (1.12e-1)"	"unprognostic (1.98e-2)"	"unprognostic (3.18e-1)"	"unprognostic (2.91e-1)"	"unprognostic (5.48e-6)"	"unprognostic (1.86e-1)"	"unprognostic (1.04e-1)"	"unprognostic (4.66e-2)"	"unprognostic (8.23e-2)"
CNGA3	"ACHM2, CCNC1, CCNCa, CNCG3, CNG3"	ENSG00000144191	"Cyclic nucleotide gated channel subunit alpha 3"	Q16281	2	98346188-98398601	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Sensory transduction, Transport, Vision"	"Ion channel, Ligand-gated ion channel"	"Disease variant, Leber congenital amaurosis"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 5.7;intestine: 4.2;pituitary gland: 10.1;retina: 5.9"	"Cell type enriched"	"Detected in some"	11	"Cone photoreceptor cells: 34.5"	"Cancer enriched"	"Detected in some"	9	"glioma: 7.9"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	7	"Neuroblastoma: 2.5"	"Lung - Respiratory ciliated cells, Pancreas - Alpha cells, Pancreas - Beta cells, Testis - Early spermatids"	"Group enriched"	"Detected in some"	6	"basal ganglia: 1.8;hypothalamus: 1.9"	"Not detected"	"Not detected"			"HPA049378, CAB079025"	Approved	Approved				NA	NA				"Cluster 77: Retina - Visual perception"	"Cluster 7: Neuronal cell lines - Stereocilium"	"Cluster 44: Photoreceptor cells - Visual perception"			"CAB079025: , HPA049378: AB_2732551"	"unprognostic (2.34e-2)"	"unprognostic (1.83e-2)"	"unprognostic (4.96e-2)"	"unprognostic (4.81e-2)"	"unprognostic (1.13e-1)"	"unprognostic (2.18e-1)"		"unprognostic (4.17e-4)"		"unprognostic (4.65e-2)"	"unprognostic (1.86e-3)"	"unprognostic (2.88e-1)"		"unprognostic (3.85e-3)"	"unprognostic (8.98e-2)"	"unprognostic (5.90e-2)"	"unprognostic (3.71e-2)"
CNGB1	"CNCG2, CNCG3L, CNGB1B, GAR1, GARP, RCNC2, RCNCb, RP45"	ENSG00000070729	"Cyclic nucleotide gated channel subunit beta 1"	Q14028	16	57882340-57971128	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Ion transport, Olfaction, Sensory transduction, Transport, Vision"	"Ion channel, Ligand-gated ion channel"	"Disease variant, Retinitis pigmentosa"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	17	"retina: 600.2"	"Group enriched"	"Detected in some"	6	"Cone photoreceptor cells: 353.3;Rod photoreceptor cells: 1052.5"	"Cancer enriched"	"Detected in single"	6	"head and neck cancer: 2.6"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	4	"Neuroblastoma: 12.3"	"Colon - Colon enteroendocrine cells, Pancreas - Ductal cells, Skin - Outer root sheath cells"	"Region enhanced"	"Detected in some"		"hypothalamus: 4.5"					HPA060355			Approved	"Plasma membrane,Cytosol"		No	NA				"Cluster 77: Retina - Visual perception"	"Cluster 21: Neuroblastoma - Neuronal signaling"	"Cluster 44: Photoreceptor cells - Visual perception"	Cytosol	"Plasma membrane"	"HPA060355: "	"unprognostic (5.52e-3)"	"unprognostic (4.51e-3)"	"unprognostic (1.06e-1)"	"unprognostic (2.73e-3)"	"unprognostic (6.20e-2)"	"unprognostic (1.76e-1)"	"unprognostic (8.56e-4)"	"unprognostic (3.08e-1)"	"unprognostic (9.84e-2)"	"unprognostic (2.83e-1)"	"unprognostic (2.14e-4)"	"unprognostic (5.42e-2)"	"unprognostic (1.01e-3)"	"unprognostic (5.20e-2)"	"unprognostic (1.88e-1)"	"unprognostic (4.57e-2)"	"unprognostic (9.07e-2)"
CNGB3	"ACHM1, ACHM3, RMCH"	ENSG00000170289	"Cyclic nucleotide gated channel subunit beta 3"	Q9NQW8	8	86553977-86743675	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Sensory transduction, Transport, Vision"	"Ion channel, Ligand-gated ion channel"	"Disease variant, Stargardt disease"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"bone marrow: 4.1;retina: 13.1"	"Cell type enriched"	"Detected in some"	22	"Cone photoreceptor cells: 253.3"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA057244	Enhanced					NA	NA				"Cluster 77: Retina - Visual perception"	"Cluster 25: Non-specific - Basic cellular processes"	"Cluster 44: Photoreceptor cells - Visual perception"			"HPA057244: AB_2683380"	"unprognostic (5.35e-1)"	"unprognostic (1.68e-3)"	"unprognostic (1.22e-1)"	"unprognostic (2.42e-1)"	"unprognostic (3.62e-2)"	"unprognostic (2.58e-1)"	"unprognostic (6.25e-2)"	"unprognostic (1.18e-1)"	"unprognostic (2.91e-1)"	"unprognostic (2.17e-1)"	"unprognostic (3.82e-1)"	"unprognostic (9.28e-2)"	"unprognostic (2.77e-4)"	"unprognostic (1.40e-4)"	"unprognostic (1.66e-2)"	"unprognostic (8.76e-2)"	"unprognostic (1.84e-1)"
CNNM2	ACDP2	ENSG00000148842	"Cyclin and CBS domain divalent metal cation transport mediator 2"	Q9H8M5	10	102918294-103090222	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Ion transport, Transport"		"Disease variant, Epilepsy, Intellectual disability, Primary hypomagnesemia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"choroid plexus: 37.9;parathyroid gland: 31.6"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 58.2;Excitatory neurons: 111.0;Inhibitory neurons: 143.6;Oligodendrocyte precursor cells: 88.6;Oligodendrocytes: 87.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	4	"NK-cell: 1.5"	"Lineage enriched"	"Detected in single"	4	"NK-cells: 1.5"	"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA059954, HPA071631"			Enhanced	Vesicles		NA	NA			"Cluster 40: NK-cells - Unknown function"	"Cluster 48: Parathyroid gland - membrane proteins"	"Cluster 67: Non-specific - Mitochondria & RNA binding"	"Cluster 37: Neurons - Neuronal signaling"	Vesicles		"HPA059954: AB_2684177, HPA071631: AB_2686427"	"unprognostic (2.18e-1)"	"unprognostic (6.46e-2)"	"unprognostic (1.24e-1)"	"unprognostic (2.65e-3)"	"unprognostic (3.19e-1)"	"unprognostic (2.44e-1)"	"unprognostic (1.93e-1)"	"unprognostic (4.80e-2)"	"unprognostic (4.51e-3)"	"unprognostic (3.75e-2)"	"unprognostic (1.29e-2)"	"unprognostic (2.39e-1)"	"prognostic favorable (2.39e-8)"	"unprognostic (2.44e-1)"	"unprognostic (1.13e-1)"	"unprognostic (2.65e-3)"	"unprognostic (1.56e-1)"
CNNM4	"ACDP4, KIAA1592"	ENSG00000158158	"Cyclin and CBS domain divalent metal cation transport mediator 4"	Q6P4Q7	2	96760902-96811874	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Biomineralization, Ion transport, Sensory transduction, Transport, Vision"		"Amelogenesis imperfecta, Cone-rod dystrophy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"retina: 38.8"	"Cell type enhanced"	"Detected in many"		"Cone photoreceptor cells: 96.5;Distal enterocytes: 65.3;Rod photoreceptor cells: 49.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in single"			"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes, Lung - Alveolar cells type 1, Skeletal muscle - Skeletal myocytes, Stomach - Gastric mucous cells, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA017732	Enhanced		Uncertain	"Plasma membrane,Actin filaments"		NA	NA			"Cluster 18: Basophils - Vesicular transport"	"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 65: Breast cancer - Unknown function"	"Cluster 50: Enterocytes - Absorption"	"Actin filaments"	"Plasma membrane"	"HPA017732: AB_1847395"	"unprognostic (1.98e-3)"	"unprognostic (8.95e-3)"	"unprognostic (1.11e-1)"	"prognostic unfavorable (9.14e-4)"	"unprognostic (3.42e-2)"	"unprognostic (5.28e-2)"	"unprognostic (1.54e-3)"	"unprognostic (3.36e-2)"	"unprognostic (2.17e-1)"	"prognostic unfavorable (8.75e-4)"	"unprognostic (4.75e-3)"	"unprognostic (3.72e-1)"	"unprognostic (8.14e-2)"	"unprognostic (3.13e-1)"	"unprognostic (3.44e-2)"	"unprognostic (1.15e-2)"	"unprognostic (1.06e-1)"
CNTN2	"AXT, TAG-1, TAX, TAX1"	ENSG00000184144	"Contactin 2"	Q02246	1	205042937-205078289	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters"	"Cell adhesion"		Epilepsy	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	8	"brain: 248.9"	"Cell type enriched"	"Detected in many"	12	"Oligodendrocytes: 316.7"	"Cancer enriched"	"Detected in some"	9	"glioma: 6.4"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	6	"Neuroblastoma: 5.6"	"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA001397, HPA012497"	Approved				"Secreted in brain"	NA	NA		58000		"Cluster 70: Brain - Nervous system development"	"Cluster 7: Neuronal cell lines - Stereocilium"	"Cluster 8: Oligodendrocytes - Myelin sheath organization"			"HPA001397: AB_1847146, HPA012497: AB_1847147"	"unprognostic (1.90e-1)"	"unprognostic (1.86e-1)"	"unprognostic (2.87e-2)"	"unprognostic (4.52e-3)"	"unprognostic (2.98e-2)"	"unprognostic (5.96e-2)"	"unprognostic (3.25e-1)"	"unprognostic (1.43e-2)"	"unprognostic (8.56e-2)"	"unprognostic (2.40e-1)"	"unprognostic (3.44e-3)"	"unprognostic (5.62e-2)"	"unprognostic (1.73e-7)"	"unprognostic (9.82e-3)"	"unprognostic (1.19e-1)"	"unprognostic (3.35e-2)"	"unprognostic (3.07e-2)"
COASY	"DPCK, NBP, PPAT"	ENSG00000068120	"Coenzyme A synthase"	Q13057	17	42561467-42566277	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Coenzyme A biosynthesis"	"Kinase, Multifunctional enzyme, Nucleotidyltransferase, Transferase"	"Disease variant, Neurodegeneration"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Breast - Breast glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA022875, HPA022912, HPA023273"	Approved				"Intracellular and membrane"	NA	NA		20000	"Cluster 44: Non-specific - Transcription"	"Cluster 18: Non-specific - Mitochondria"	"Cluster 65: Breast cancer - Unknown function"	"Cluster 17: Granulosa cells - Transcription regulation"			"HPA022875: AB_1847066, HPA022912: AB_1847067, HPA023273: AB_1847068"	"unprognostic (2.83e-1)"	"unprognostic (8.35e-2)"	"unprognostic (1.81e-1)"	"prognostic favorable (2.15e-4)"	"unprognostic (1.01e-1)"	"unprognostic (5.72e-2)"	"prognostic unfavorable (7.54e-5)"	"unprognostic (4.06e-2)"	"unprognostic (3.36e-2)"	"unprognostic (2.50e-2)"	"unprognostic (1.50e-1)"	"unprognostic (7.83e-2)"	"unprognostic (1.11e-2)"	"unprognostic (2.49e-2)"	"unprognostic (5.55e-1)"	"unprognostic (1.62e-1)"	"unprognostic (2.16e-1)"
COCH	"COCH-5B2, DFNA31, DFNA9"	ENSG00000100473	Cochlin	O43405	14	30874514-30895065	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters"	Hearing		"Deafness, Disease variant, Non-syndromic deafness"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	7	"pancreas: 502.0"	"Cell type enhanced"	"Detected in many"		"Exocrine glandular cells: 35.6;Horizontal cells: 33.3;Inhibitory neurons: 23.6;Spermatocytes: 29.5"	"Low cancer specificity"	"Detected in many"			"Region enhanced"	"Detected in all"		"basal ganglia: 71.3"	"Group enriched"	"Detected in some"	12	"memory B-cell: 38.3;naive B-cell: 17.7"	"Lineage enriched"	"Detected in many"	17	"B-cells: 38.3"	"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Region enhanced"	"Detected in all"		"basal ganglia: 50.8"	HPA065086			Supported	Vesicles	"Secreted in other tissues"	NA	NA		160000	"Cluster 19: B-cells - Humoral immune response"	"Cluster 25: Pancreas - Digestion"	"Cluster 20: Connective tissue cells - ECM organization"	"Cluster 65: Fibroblasts - ECM organization"	Vesicles		"HPA065086: "	"unprognostic (8.36e-3)"	"unprognostic (2.51e-2)"	"unprognostic (8.61e-2)"	"unprognostic (1.64e-2)"	"unprognostic (6.48e-2)"	"unprognostic (6.53e-2)"	"unprognostic (9.61e-2)"	"unprognostic (4.03e-1)"	"unprognostic (2.11e-2)"	"unprognostic (1.40e-1)"	"unprognostic (1.27e-2)"	"unprognostic (2.91e-3)"	"unprognostic (5.42e-3)"	"unprognostic (3.92e-2)"	"unprognostic (2.80e-2)"	"unprognostic (1.03e-1)"	"unprognostic (1.72e-1)"
COLGALT1	"FLJ22329, GLT25D1"	ENSG00000130309	"Collagen beta(1-O)galactosyltransferase 1"	Q8NBJ5	19	17555649-17583162	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"		"Glycosyltransferase, Transferase"	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Extravillous trophoblasts: 81.3;Hofbauer cells: 90.1;Kupffer cells: 66.9;Macrophages: 68.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA047821	Approved		Approved	Vesicles	"Intracellular and membrane"	No	No		9700	"Cluster 7: Monocytes - Unknown function"	"Cluster 19: Lung - Lung function"	"Cluster 37: Ovarian cancer RMG-I - Cellular stress response"	"Cluster 69: Macrophages - Innate immune response"	Vesicles		"HPA047821: AB_2680168"	"unprognostic (2.46e-1)"	"unprognostic (1.16e-1)"	"unprognostic (3.49e-1)"	"unprognostic (1.85e-1)"	"unprognostic (1.17e-1)"	"unprognostic (1.56e-1)"	"prognostic unfavorable (1.65e-5)"	"unprognostic (2.92e-3)"	"unprognostic (2.92e-1)"	"unprognostic (1.66e-3)"	"prognostic unfavorable (1.92e-4)"	"unprognostic (3.89e-2)"	"prognostic unfavorable (0.00e+0)"	"unprognostic (1.43e-2)"	"unprognostic (1.09e-1)"	"unprognostic (8.87e-2)"	"prognostic unfavorable (3.83e-4)"
