Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
DDX5	"G17P1, HLR1, p68"	ENSG00000108654	"DEAD-box helicase 5"	P17844	17	64498254-64508199	"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"	"Biological rhythms, mRNA processing, mRNA splicing, Transcription, Transcription regulation"	"Helicase, Hydrolase, RNA-binding"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB005868, HPA020043, HPA071154"	Supported		Supported	Nucleoplasm,Nucleoli		No	No		310000	"Cluster 18: Basophils - Vesicular transport"	"Cluster 34: Non-specific - Transcription"	"Cluster 65: Breast cancer - Unknown function"	"Cluster 11: Non-specific - Transcription"	"Nucleoplasm, Nucleoli"		"CAB005868: AB_446484, HPA020043: AB_1847572, HPA071154: "	"unprognostic (6.64e-2)"	"unprognostic (6.98e-2)"	"prognostic favorable (2.12e-4)"	"unprognostic (8.94e-2)"	"unprognostic (5.08e-2)"	"unprognostic (9.85e-2)"	"unprognostic (5.80e-2)"	"unprognostic (1.61e-2)"	"unprognostic (3.17e-2)"	"unprognostic (4.71e-2)"	"unprognostic (3.03e-3)"	"unprognostic (1.44e-1)"	"unprognostic (4.00e-1)"	"unprognostic (2.08e-1)"	"unprognostic (2.37e-1)"	"unprognostic (2.17e-1)"	"unprognostic (9.28e-3)"
DDX6	"HLR2, RCK, Rck/p54"	ENSG00000110367	"DEAD-box helicase 6"	P26196	11	118747763-118791164	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"		"Helicase, Hydrolase, RNA-binding"	"Cancer-related genes, Disease variant, Intellectual disability, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB004668, HPA024201, HPA026644"	Approved		Supported	"Cytosol,Cytoplasmic bodies"		NA	NA		19000	"Cluster 8: Neutrophils - Inflammatory response"	"Cluster 34: Non-specific - Transcription"	"Cluster 58: Non-specific - Basic cellular processes"	"Cluster 1: T-cells - Immune response"	"Cytoplasmic bodies"	Cytosol	"CAB004668: AB_436960, HPA024201: AB_10603562, HPA026644: AB_1847582"	"unprognostic (1.26e-1)"	"unprognostic (1.40e-1)"	"unprognostic (1.89e-1)"	"unprognostic (3.40e-2)"	"unprognostic (4.12e-2)"	"unprognostic (5.82e-2)"	"prognostic unfavorable (6.56e-4)"	"unprognostic (3.43e-1)"	"unprognostic (1.48e-2)"	"unprognostic (1.16e-1)"	"unprognostic (1.00e-1)"	"unprognostic (7.76e-2)"	"unprognostic (1.98e-1)"	"unprognostic (4.91e-3)"	"unprognostic (1.88e-1)"	"unprognostic (9.58e-2)"	"unprognostic (4.55e-2)"
DEFA1	"DEF1, DEFA2, HNP-1, MRS"	ENSG00000206047	"Defensin alpha 1"	P59665	8	6977649-6980080	"Cancer-related genes, Plasma proteins, Predicted secreted proteins, Transporters"	"Antiviral defense"	"Antibiotic, Antimicrobial, Defensin, Fungicide"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	10	"bone marrow: 18020.9"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	231	"Leukemia: 30.1"	"Lung - Neutrophil_1"									"CAB032548, HPA052517"	Enhanced				"Secreted to blood"	NA	NA				"Cluster 67: Neutrophils - Humoral immune response"	"Cluster 66: Myeloid cells - Innate immune response"	"Cluster 2: T-cells - T-cell receptor"			"CAB032548: AB_2277258, HPA052517: AB_2681860"																	
DEFA1B		ENSG00000240247	"Defensin alpha 1B"	P59665	8	6996766-6999195	"Cancer-related genes, Plasma proteins, Predicted secreted proteins, Transporters"	"Antiviral defense"	"Antibiotic, Antimicrobial, Defensin, Fungicide"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	6	"bone marrow: 872.0"	"Cell type enriched"	"Detected in single"	8	"Kupffer cells: 3.3"	"Not detected"	"Not detected"			"Region enriched"	"Detected in single"	4	"cerebral cortex: 2.0"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Lung - Neutrophil_1"									HPA052517	Supported				"Secreted to blood"	NA	NA				"Cluster 67: Neutrophils - Humoral immune response"	"Cluster 39: Non-specific - Unknown function"	"Cluster 33: Macrophages - Degranulation"			"HPA052517: AB_2681860"																	
DEFA3	"DEF3, HNP-3"	ENSG00000239839	"Defensin alpha 3"	P59666	8	7015869-7018297	"Cancer-related genes, Predicted secreted proteins"	"Antiviral defense"	"Antibiotic, Antimicrobial, Defensin, Fungicide"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	64	"bone marrow: 37615.2"	"Cell type enriched"	"Detected in some"	10	"Kupffer cells: 104.1"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"Immune cell enriched"	"Detected in many"	19	"neutrophil: 854.3"	"Lineage enriched"	"Detected in many"	19	"granulocytes: 854.3"	"Cancer enriched"	"Detected in single"	155	"Leukemia: 15.4"	"Liver - Erythroid cells, Lung - Neutrophil_1"									HPA052517	Supported				"Secreted to blood"	NA	NA			"Cluster 1: Neutrophils - Mixed function"	"Cluster 67: Neutrophils - Humoral immune response"	"Cluster 66: Myeloid cells - Innate immune response"	"Cluster 2: T-cells - T-cell receptor"			"HPA052517: AB_2681860"					"unprognostic (8.21e-2)"												
DEK	D6S231E	ENSG00000124795	"DEK proto-oncogene"	P35659	6	18223860-18264548	"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins"		"Chromatin regulator, DNA-binding"	"Cancer-related genes, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB015226, HPA054505, HPA057799"	Supported		Supported	Nucleoplasm,Cytosol		NA	NA			"Cluster 42: Non-specific - Transcription"	"Cluster 9: Intestine - Unknown function"	"Cluster 15: Non-specific - Protein binding"	"Cluster 43: Non-specific - Cell proliferation"	Nucleoplasm	Cytosol	"CAB015226: , HPA054505: AB_2682508, HPA057799: AB_2683530"	"unprognostic (6.35e-2)"	"unprognostic (6.11e-2)"	"unprognostic (5.04e-3)"	"unprognostic (1.40e-2)"	"unprognostic (3.66e-1)"	"unprognostic (5.02e-3)"	"prognostic unfavorable (9.65e-4)"	"unprognostic (1.76e-1)"	"unprognostic (1.48e-2)"	"unprognostic (1.61e-3)"	"unprognostic (6.49e-3)"	"unprognostic (1.12e-2)"	"prognostic unfavorable (3.45e-4)"	"unprognostic (1.59e-1)"	"unprognostic (1.68e-1)"	"unprognostic (2.31e-1)"	"unprognostic (3.78e-1)"
DES	"CMD1I, CSM1, CSM2"	ENSG00000175084	Desmin	P17661	2	219418377-219426734	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		"Muscle protein"	"Cancer-related genes, Cardiomyopathy, Desmin-related myopathy, Disease variant, Limb-girdle muscular dystrophy, Myofibrillar myopathy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"heart muscle: 13020.7;intestine: 8627.2;skeletal muscle: 16532.0"	"Group enriched"	"Detected in many"	7	"Cardiomyocytes: 1169.7;Skeletal myocytes: 4291.5"	"Cancer enhanced"	"Detected in all"		"prostate cancer: 562.1;stomach cancer: 400.2"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	13	"Sarcoma: 122.1"	"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Colon - Smooth muscle cells, Lung - Smooth muscle cells, Prostate - Smooth muscle cells, Skin - Smooth muscle cells, Thyroid - Smooth muscle cells"	"Low region specificity"	"Detected in many"			"Region enriched"	"Detected in many"	5	"midbrain: 29.5"	"CAB000034, HPA018803"	Enhanced		Supported	"Intermediate filaments"		NA	NA		1600000	"Cluster 7: Monocytes - Unknown function"	"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 42: Sarcoma - Muscle contraction"	"Cluster 15: Smooth muscle cells - Muscle contraction"	"Intermediate filaments"		"CAB000034: , HPA018803: AB_1847616"	"unprognostic (1.75e-1)"	"unprognostic (1.95e-3)"	"unprognostic (3.43e-2)"	"unprognostic (8.76e-2)"	"unprognostic (7.75e-3)"	"unprognostic (6.61e-3)"	"unprognostic (1.55e-1)"	"unprognostic (2.72e-2)"	"unprognostic (4.67e-1)"	"unprognostic (3.84e-2)"	"unprognostic (2.57e-1)"	"unprognostic (7.43e-2)"	"prognostic unfavorable (5.08e-4)"	"unprognostic (3.49e-2)"	"unprognostic (1.34e-1)"	"unprognostic (1.22e-1)"	"unprognostic (9.25e-3)"
DHFR		ENSG00000228716	"Dihydrofolate reductase"	P00374	5	80626226-80654983	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"	"Methotrexate resistance, One-carbon metabolism"	"Oxidoreductase, RNA-binding"	"Cancer-related genes, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Erythroid cells: 147.5;Plasma cells: 67.8;Spermatocytes: 101.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Liver - Hepatocytes, Testis - Early spermatids, Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB037129, HPA051465"	Uncertain		Uncertain	Mitochondria		NA	Yes			"Cluster 4: T-regs - Cell cycle regulation"	"Cluster 53: Non-specific - Cell cycle regulation"	"Cluster 45: Non-specific - Cell proliferation"	"Cluster 43: Non-specific - Cell proliferation"	Mitochondria		"CAB037129: AB_439683, HPA051465: AB_2681494"	"unprognostic (1.44e-2)"	"unprognostic (1.03e-2)"	"unprognostic (2.24e-3)"	"unprognostic (2.91e-3)"	"unprognostic (3.27e-1)"	"unprognostic (1.32e-1)"	"unprognostic (2.83e-2)"	"unprognostic (2.35e-2)"	"unprognostic (2.02e-2)"	"unprognostic (4.19e-3)"	"unprognostic (1.83e-2)"	"unprognostic (2.55e-1)"	"unprognostic (1.15e-2)"	"unprognostic (1.82e-2)"	"unprognostic (2.49e-1)"	"unprognostic (1.57e-1)"	"unprognostic (1.09e-1)"
DHX9	"DDX9, LKP, RHA"	ENSG00000135829	"DExH-box helicase 9"	Q08211	1	182839347-182887982	"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"	"Biological rhythms, DNA replication, Host-virus interaction, Immunity, Inflammatory response, Innate immunity, mRNA processing, mRNA splicing, mRNA transport, RNA-mediated gene silencing, Transcription, Transcription regulation, Transcription termination, Translation regulation, Transport"	"Activator, DNA-binding, Helicase, Hydrolase, RNA-binding"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB011819, HPA028050, HPA055684"	Supported		Enhanced	Nucleoplasm,Nucleoli		NA	NA		360000	"Cluster 27: Non-specific - Gene expression"	"Cluster 34: Non-specific - Transcription"	"Cluster 18: Non-specific - RNA binding"	"Cluster 16: Non-specific - RNA binding"	Nucleoplasm	Nucleoli	"CAB011819: AB_777725, HPA028050: AB_10603564, HPA055684: AB_2682885"	"unprognostic (8.14e-2)"	"unprognostic (9.32e-2)"	"unprognostic (1.84e-2)"	"unprognostic (4.80e-2)"	"unprognostic (1.58e-1)"	"unprognostic (7.40e-2)"	"prognostic unfavorable (3.17e-4)"	"unprognostic (9.98e-2)"	"prognostic unfavorable (6.04e-4)"	"unprognostic (2.76e-1)"	"unprognostic (2.88e-2)"	"unprognostic (5.53e-2)"	"unprognostic (7.51e-2)"	"unprognostic (1.43e-1)"	"unprognostic (1.70e-1)"	"unprognostic (3.17e-1)"	"unprognostic (1.99e-1)"
DIAPH1	"DFNA1, hDIA1, LFHL1"	ENSG00000131504	"Diaphanous related formin 1"	O60610	5	141515016-141619055	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	Hearing	Actin-binding	"Cancer-related genes, Deafness, Disease variant, Epilepsy, Non-syndromic deafness"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 172.0"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Stomach - Gastric mucous cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA004916, HPA076913"	Approved		Uncertain	"Plasma membrane,Cytosol"		NA	NA		2000000	"Cluster 41: Basophils - Cellular respiration"	"Cluster 55: Non-specific - Mitochondria & Proteasome"	"Cluster 62: Granulocytes - Innate immune response"	"Cluster 19: Macrophages - Innate immune response"	"Plasma membrane, Cytosol"		"HPA004916: AB_1847668, HPA076913: "	"unprognostic (6.79e-2)"	"unprognostic (2.99e-1)"	"unprognostic (2.12e-3)"	"unprognostic (3.73e-2)"	"unprognostic (4.18e-2)"	"unprognostic (1.54e-1)"	"unprognostic (2.08e-1)"	"unprognostic (4.54e-3)"	"unprognostic (2.03e-1)"	"unprognostic (1.27e-2)"	"prognostic unfavorable (7.81e-5)"	"unprognostic (2.88e-3)"	"prognostic favorable (1.29e-5)"	"unprognostic (1.64e-2)"	"unprognostic (1.84e-2)"	"unprognostic (7.00e-2)"	"unprognostic (1.65e-1)"
DIAPH3	"AN, AUNA1, DRF3, FLJ34705, NSDAN"	ENSG00000139734	"Diaphanous related formin 3"	Q9NSV4	13	59665583-60163928	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			"Cancer-related genes, Deafness, Neuropathy, Non-syndromic deafness"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"bone marrow: 7.1;testis: 18.9"	"Cell type enriched"	"Detected in many"	5	"Early spermatids: 453.6"	"Low cancer specificity"	"Detected in many"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Colon - Mitotic cells (Colon), Heart muscle - Mitotic cells (Heart), Skin - Mitotic cells (Skin), Testis - Early spermatids, Testis - Late spermatids, Thyroid - Mitotic cells (Thyroid)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			HPA032151			Supported	"Plasma membrane,Microtubules"		NA	Yes				"Cluster 23: Testis - Cell cycle regulation"	"Cluster 45: Non-specific - Cell proliferation"	"Cluster 57: Early spermatids - Flagellum & Golgi organization"	"Plasma membrane, Microtubules"		"HPA032151: AB_2674181"	"unprognostic (3.78e-2)"	"unprognostic (1.28e-2)"	"prognostic favorable (9.04e-4)"	"prognostic unfavorable (4.18e-4)"	"unprognostic (2.78e-1)"	"unprognostic (4.69e-2)"	"unprognostic (1.27e-4)"	"prognostic unfavorable (3.72e-4)"	"unprognostic (1.74e-2)"	"unprognostic (2.19e-1)"	"unprognostic (5.22e-5)"	"unprognostic (3.59e-3)"	"unprognostic (5.31e-5)"	"unprognostic (4.30e-2)"	"unprognostic (2.37e-1)"	"unprognostic (4.07e-1)"	"unprognostic (2.74e-3)"
DICER1	"Dicer, HERNA, K12H4.8-LIKE, KIAA0928, MNG1"	ENSG00000100697	"Dicer 1, ribonuclease III"	Q9UPY3	14	95086228-95158010	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Host-virus interaction, RNA-mediated gene silencing"	"Endonuclease, Helicase, Hydrolase, Nuclease, RNA-binding"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Oligodendrocytes: 395.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA000694, CAB068185"	Approved		Supported	Cytosol		NA	NA			"Cluster 14: Monocytes - Unknown function"	"Cluster 70: Brain - Nervous system development"	"Cluster 54: Lymphoma - Cytokine signaling"	"Cluster 12: Non-specific - Chromatin organization"	Cytosol		"CAB068185: AB_2665650, HPA000694: AB_1078661"	"unprognostic (2.97e-1)"	"unprognostic (2.70e-2)"	"unprognostic (1.21e-1)"	"unprognostic (1.72e-1)"	"unprognostic (6.75e-2)"	"unprognostic (9.62e-2)"	"unprognostic (1.96e-2)"	"unprognostic (7.73e-2)"	"unprognostic (1.21e-1)"	"unprognostic (8.52e-3)"	"unprognostic (5.73e-2)"	"unprognostic (9.22e-2)"	"unprognostic (4.22e-2)"	"unprognostic (9.07e-2)"	"unprognostic (2.58e-1)"	"unprognostic (6.04e-3)"	"unprognostic (3.74e-2)"
DIS3	"dis3p, EXOSC11, KIAA1008, RRP44"	ENSG00000083520	"DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease"	Q9Y2L1	13	72752169-72782096	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"	"rRNA processing"	"Endonuclease, Exonuclease, Hydrolase, Nuclease, RNA-binding"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Early spermatids: 191.0;Late spermatids: 131.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA039281, HPA058762"	Approved		Supported	Nucleoplasm,Cytosol		NA	NA			"Cluster 44: Non-specific - Transcription"	"Cluster 34: Non-specific - Transcription"	"Cluster 13: Non-specific - Nuclear processes"	"Cluster 16: Non-specific - RNA binding"	Nucleoplasm	Cytosol	"HPA039281: AB_10795583, HPA058762: AB_2683810"	"unprognostic (1.61e-1)"	"unprognostic (1.52e-1)"	"unprognostic (1.18e-1)"	"unprognostic (8.97e-2)"	"unprognostic (8.14e-2)"	"unprognostic (1.51e-2)"	"unprognostic (1.49e-1)"	"unprognostic (2.84e-1)"	"unprognostic (6.38e-2)"	"unprognostic (8.68e-2)"	"unprognostic (1.32e-3)"	"unprognostic (3.35e-3)"	"unprognostic (1.02e-1)"	"unprognostic (2.37e-2)"	"unprognostic (3.69e-2)"	"unprognostic (7.88e-2)"	"unprognostic (1.03e-1)"
