,SHAP_mean,Abundance_rank,Abundance_mean,Abundance_std,description,SHAP_rank,Group
Q16762,0.0607147430729371,11.0,0.5313452312713459,0.2327585800506118,Thiosulfate sulfurtransferase ,63.0,Ductal_breast
Q9NZM1,0.059280562093365595,10.0,0.6890206268312651,0.15870312517087037,Myoferlin ,64.0,Ductal_breast
P26006,0.056742765921073614,10.0,0.43605612934433663,0.30623434572460484,Integrin alpha-3 ,65.0,Ductal_breast
Q3KQU3,0.056656103190096355,5.0,0.4629983077237199,0.24288518071379528,MAP7 domain-containing protein 1 ,66.0,Ductal_breast
P49720,0.056017228337747305,7.0,0.43245524640100597,0.2390464909247034,Proteasome subunit beta type-3 ,67.0,Ductal_breast
P08648,0.0538857446249711,7.0,0.316102476037225,0.16254519739557144,Integrin alpha-5 ,68.0,Ductal_breast
Q9Y5Z4,0.04812216333420666,11.0,0.7430305529859247,0.2078649003287062,Heme-binding protein 2 ,69.0,Ductal_breast
Q08J23,0.047076229041119355,13.0,0.6519589235991257,0.11768154611789668,RNA cytosine C,70.0,Ductal_breast
P04083,0.04588845175072809,4.0,0.6183573382436076,0.16659004760434745,Annexin A1 ,71.0,Ductal_breast
P18206,0.039564591304441094,5.0,0.7302612032373338,0.11493204336036464,Vinculin ,72.0,Ductal_breast
P31947,0.03754678602443197,11.0,0.6696704331218292,0.09450962524868367,14-3-3 protein sigma ,73.0,Ductal_breast
Q96TA1,0.03317794133661156,7.0,0.6754838951632621,0.14556487544545374,Protein Niban 2 ,74.0,Ductal_breast
Q8N392,0.03137354430904239,6.0,0.42128915054679633,0.2440514622039385,Rho GTPase-activating protein 18 ,75.0,Ductal_breast
Q14126,0.030430297942571415,11.0,0.5903149158603906,0.20407510776983148,Desmoglein-2 ,76.0,Ductal_breast
Q9UHD8,0.0274760434531917,9.0,0.5056018277566368,0.19206192779453152,Septin-9 ,77.0,Ductal_breast
Q08380,0.027155157441060597,7.0,0.4751068690268598,0.23181790532488517,Galectin-3-binding protein ,78.0,Ductal_breast
Q9BW60,0.024563324232768045,8.0,0.5830469422233884,0.21002073302058133,Elongation of very long chain fatty acids protein 1 ,79.0,Ductal_breast
Q9UHR4,0.024366585146753262,13.0,0.5804319370648192,0.2332100659749545,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 ,80.0,Ductal_breast
Q9NZN4,0.02296341561418992,7.0,0.3949291287628621,0.28376171065909583,EH domain-containing protein 2 ,81.0,Ductal_breast
Q8NBS9,0.02247708134234469,5.0,0.4827270796721191,0.18058532128102375,Thioredoxin domain-containing protein 5 ,82.0,Ductal_breast
P35580,0.02235177560585551,8.0,0.6931563441083641,0.18992187704330812,Myosin-10 ,83.0,Ductal_breast
P32119,0.02234254449883982,10.0,0.6408083829241062,0.12811608109087883,Peroxiredoxin-2 ,84.0,Ductal_breast
O60264,0.01772149819458095,9.0,0.744737167437288,0.1948274797086047,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 ,85.0,Ductal_breast
Q8TEM1,0.016832044285730777,9.0,0.47502885996575894,0.24935843081723574,Nuclear pore membrane glycoprotein 210 ,86.0,Ductal_breast
Q9BWF3,0.01659914939714693,5.0,0.4453471265486361,0.26798795781979123,RNA-binding protein 4 ,87.0,Ductal_breast
P80723,0.016531963555269237,10.0,0.6595808407408572,0.1846695302589096,Brain acid soluble protein 1 ,88.0,Ductal_breast
Q7L5N7,0.01579392788423203,7.0,0.34242272040524224,0.24891139535803153,Lysophosphatidylcholine acyltransferase 2 ,89.0,Ductal_breast
P51452,0.013375966091533718,6.0,0.3817006924899226,0.2719862008535981,Dual specificity protein phosphatase 3 ,90.0,Ductal_breast
P48960,0.01310903531377392,7.0,0.5077268769051464,0.30620936658689646,Adhesion G protein-coupled receptor E5 ,91.0,Ductal_breast
P62805,0.011449375593087768,10.0,0.8895465329413442,0.18431776845254638,Histone H4,92.0,Ductal_breast
P11498,0.011343715279924433,12.0,0.6232212344053265,0.1691720959816579,"Pyruvate carboxylase, mitochondrial ",93.0,Ductal_breast
Q9BZQ8,0.009250889116909146,5.0,0.4556704631897607,0.2492793399509828,Protein Niban 1 ,94.0,Ductal_breast
O43707,0.008980793069213087,10.0,0.6164181550908654,0.18193841877740669,Alpha-actinin-4 ,95.0,Ductal_breast
P16989,0.00881375689995087,10.0,0.716918089440153,0.141766673123823,Y-box-binding protein 3 ,96.0,Ductal_breast
O75475,0.00827901992413575,8.0,0.6047993714682514,0.14655353752281067,PC4 and SFRS1-interacting protein ,97.0,Ductal_breast
P12270,0.007989363295904581,9.0,0.6906815480327545,0.1251980582926254,Nucleoprotein TPR ,98.0,Ductal_breast
P11047,0.007837629988457221,5.0,0.4683311638053739,0.22144514615785446,Laminin subunit gamma-1 ,99.0,Ductal_breast
Q9NR30,0.00753999701294251,8.0,0.8126372884844256,0.076876336369677,Nucleolar RNA helicase 2 ,100.0,Ductal_breast
P23246,0.007188061923807445,4.0,0.6221529877074752,0.16670918562304649,"Splicing factor, proline- and glutamine-rich ",101.0,Ductal_breast
Q6NZI2,0.006894526694219247,8.0,0.5734463930471223,0.2961460510883959,Caveolae-associated protein 1 ,102.0,Ductal_breast
P26447,0.006867470225609089,7.0,0.41882453425090915,0.17680425442467262,Protein S100-A4 ,103.0,Ductal_breast
Q15393,0.006093093988020829,7.0,0.6977345277985167,0.06909434774818846,Splicing factor 3B subunit 3 ,104.0,Ductal_breast
Q9NS86,0.005831870690443415,9.0,0.41170490039757845,0.19545994665552768,LanC-like protein 2 ,105.0,Ductal_breast
P08670,0.005498712443753525,4.0,0.4066313449100972,0.1916581806854024,Vimentin,106.0,Ductal_breast
P12956,0.0053279522689348695,8.0,0.5316850416308082,0.154409795017268,X-ray repair cross-complementing protein 6 ,107.0,Ductal_breast
P35998,0.003830196067823551,8.0,0.693314757587536,0.2221137337591928,26S proteasome regulatory subunit 7 ,108.0,Ductal_breast
Q9Y5B9,0.0034224290767718144,8.0,0.7711570839634442,0.06998676790080231,FACT complex subunit SPT16 ,109.0,Ductal_breast
Q9HC35,0.003395843672944269,10.0,0.3435755902491364,0.21255714328717235,Echinoderm microtubule-associated protein-like 4 ,110.0,Ductal_breast
Q9UQE7,0.0028432133100458586,6.0,0.7258736416790293,0.11241444027565342,Structural maintenance of chromosomes protein 3 ,111.0,Ductal_breast
Q07065,0.002459202517539378,5.0,0.8071429591386151,0.08164963450404347,Cytoskeleton-associated protein 4 ,112.0,Ductal_breast
Q01970,0.001950569286916027,8.0,0.5361493362335362,0.13255600208919294,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 ",113.0,Ductal_breast
Q6WKZ4,0.0017017962700054293,12.0,0.41212365655924577,0.2687248447425429,Rab11 family-interacting protein 1 ,114.0,Ductal_breast
P31146,0.001450249788289181,10.0,0.39622957880783255,0.2323103593590164,Coronin-1A ,115.0,Ductal_breast
O00754,0.0013834323949137692,7.0,0.4425424994005178,0.2006571906633975,Lysosomal alpha-mannosidase ,116.0,Ductal_breast
Q92820,0.001114581088377259,9.0,0.5653322809421615,0.18556900890339864,Gamma-glutamyl hydrolase ,117.0,Ductal_breast
P00338,0.0004880366598254054,7.0,0.730521321103115,0.08325623670131228,L-lactate dehydrogenase A chain ,118.0,Ductal_breast
Q13151,-3.5746404034429394e-05,5.0,0.5583603322783723,0.2637705399825948,Heterogeneous nuclear ribonucleoprotein A0 ,119.0,Ductal_breast
Q8IWE2,-4.455367140648661e-05,9.0,0.4908191431276373,0.3075598299615794,Protein NOXP20 ,120.0,Ductal_breast
Q9UJC3,-0.00010113745241255015,8.0,0.5099973824905881,0.20130348225690883,Protein Hook homolog 1 ,121.0,Ductal_breast
Q9BST9,-0.0007322024740651607,9.0,0.4029958543867478,0.23918054726826843,Rhotekin,122.0,Ductal_breast
Q14247,-0.0012969687492052552,6.0,0.7280775316184486,0.14851604315912392,Src substrate cortactin ,123.0,Ductal_breast
Q92616,-0.0020158360510414003,9.0,0.6334986547617719,0.11306113452964249,eIF-2-alpha kinase activator GCN1 ,124.0,Ductal_breast
Q9Y490,-0.0021198687790412152,7.0,0.6408073255131368,0.16172606009722265,Talin-1,125.0,Ductal_breast
Q7Z2K8,-0.0022924699124100365,10.0,0.3589945919637302,0.21293165743532158,G protein-regulated inducer of neurite outgrowth 1 ,126.0,Ductal_breast
Q9UIG0,-0.0031615702645715104,9.0,0.5616687823028768,0.12880282405048266,Tyrosine-protein kinase BAZ1B ,127.0,Ductal_breast
P78527,-0.003880189812179296,5.0,0.7861387234291547,0.06222764296479707,DNA-dependent protein kinase catalytic subunit ,128.0,Ductal_breast
Q53EP0,-0.005377727957833105,6.0,0.36186415096026614,0.25855959167008236,Fibronectin type III domain-containing protein 3B ,129.0,Ductal_breast
Q10589,-0.005820450385291835,7.0,0.4771317674021727,0.18000733365444682,Bone marrow stromal antigen 2 ,130.0,Ductal_breast
P17655,-0.007003247585477856,7.0,0.6068636515921038,0.27535125920766335,Calpain-2 catalytic subunit ,131.0,Ductal_breast
P14923,-0.007935452776165794,8.0,0.5943112265591642,0.210984053697256,Junction plakoglobin ,132.0,Ductal_breast
Q16658,-0.008253775749921227,2.0,0.5373247325746897,0.21218568443623995,Fascin ,133.0,Ductal_breast
Q96CX2,-0.008292670258424489,7.0,0.28562345846618353,0.1907063333517338,BTB/POZ domain-containing protein KCTD12 ,134.0,Ductal_breast
Q96HQ2,-0.00834974336312198,6.0,0.4022315665899042,0.20802256357854898,CDKN2AIP N-terminal-like protein ,135.0,Ductal_breast
P78417,-0.009164138054561927,7.0,0.4511810287807999,0.22973045764058422,Glutathione S-transferase omega-1 ,136.0,Ductal_breast
P32004,-0.009326775537104624,9.0,0.3666025061656497,0.23879487940965294,Neural cell adhesion molecule L1 ,137.0,Ductal_breast
Q14116,-0.010140937262431404,8.0,0.42061348166118784,0.25021736413591433,Interleukin-18 ,138.0,Ductal_breast
P09382,-0.011085938751378458,6.0,0.6915761405207539,0.17209926254443086,Galectin-1 ,139.0,Ductal_breast
P11766,-0.01220544722617435,3.0,0.5213564484046407,0.17614732092269228,Alcohol dehydrogenase class-3 ,140.0,Ductal_breast
Q8NI08,-0.013561622983614857,8.0,0.36081491083249545,0.23481729054376446,Nuclear receptor coactivator 7 ,141.0,Ductal_breast
O75533,-0.01555096288075091,9.0,0.7563441777751768,0.04186306533186467,Splicing factor 3B subunit 1 ,142.0,Ductal_breast
O60701,-0.016008063654398504,11.0,0.6226216744985524,0.21889366576764474,UDP-glucose 6-dehydrogenase ,143.0,Ductal_breast
Q9Y446,-0.016277679030551818,12.0,0.6631422143187599,0.1979081712492994,Plakophilin-3,144.0,Ductal_breast
P21980,-0.016638166715192824,5.0,0.4679095721068597,0.28997329185347986,Protein-glutamine gamma-glutamyltransferase 2 ,145.0,Ductal_breast
P29350,-0.017303935773360604,8.0,0.41523050745134177,0.21364687873450494,Tyrosine-protein phosphatase non-receptor type 6 ,146.0,Ductal_breast
P16144,-0.019414569063802532,10.0,0.3826987917802502,0.23661911800669613,Integrin beta-4 ,147.0,Ductal_breast
Q9BZK3,-0.025203452025651395,6.0,0.48420044888056707,0.28071229709981405,Putative nascent polypeptide-associated complex subunit alpha-like protein ,148.0,Ductal_breast
Q14764,-0.025567615840273346,4.0,0.5615270861788735,0.2331169773286113,Major vault protein ,149.0,Ductal_breast
Q8TDZ2,-0.02758818283578417,5.0,0.30095433725841436,0.14250857934514033,[F-actin]-monooxygenase MICAL1 ,150.0,Ductal_breast
A0MZ66,-0.033444022194411144,14.0,0.7142148040343169,0.2223069611248928,Shootin-1 ,151.0,Ductal_breast
P62877,-0.03497290556620163,7.0,0.6843208099243056,0.27379472597423654,E3 ubiquitin-protein ligase RBX1 ,152.0,Ductal_breast
Q8IVT2,-0.039405728660592144,10.0,0.5430975447679647,0.22110181299793757,Mitotic interactor and substrate of PLK1 ,153.0,Ductal_breast
P30740,-0.04105982570145074,8.0,0.5942432002853337,0.23539486788639052,Leukocyte elastase inhibitor ,154.0,Ductal_breast
Q15459,-0.04408628686455584,6.0,0.6272981628883934,0.16145614441609574,Splicing factor 3A subunit 1 ,155.0,Ductal_breast
P16403,-0.04429778901656292,10.0,0.686896472172952,0.16407175347819836,Histone H1.2 ,156.0,Ductal_breast
Q9UKK3,-0.04574194439237439,7.0,0.3793219179281375,0.22463325045702454,Protein mono-ADP-ribosyltransferase PARP4 ,157.0,Ductal_breast
P19174,-0.04917955143343753,9.0,0.5063942475413831,0.21677142282645637,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 ",158.0,Ductal_breast
P05783,-0.056957279039910824,11.0,0.5809741626063848,0.20782590778820523,"Keratin, type I cytoskeletal 18 ",159.0,Ductal_breast
P46821,-0.06431472595427686,7.0,0.42917585737815794,0.24199631739546287,Microtubule-associated protein 1B ,160.0,Ductal_breast
P52594,-0.0823788601389267,9.0,0.5936077453978745,0.23665725614557873,Arf-GAP domain and FG repeat-containing protein 1 ,161.0,Ductal_breast
P51452,0.7792543648812194,15.0,0.8340503120484745,0.03563651139615598,Dual specificity protein phosphatase 3 ,1.0,HCC
O60701,0.7653092484208991,15.0,0.954028850149466,0.0317625236015187,UDP-glucose 6-dehydrogenase ,2.0,HCC
Q08J23,0.7463357146993845,1.0,0.12414225189141614,0.10055850485005847,RNA cytosine C,3.0,HCC
Q01970,0.7324953214813549,1.0,0.14062529935648627,0.0534590847468164,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 ",4.0,HCC
Q9HC35,0.6775545794183084,15.0,0.7783867173698074,0.19568289644608733,Echinoderm microtubule-associated protein-like 4 ,5.0,HCC
P05091,0.5484663449303941,15.0,0.8960897472748371,0.07993235588020972,"Aldehyde dehydrogenase, mitochondrial ",6.0,HCC
P29218,0.4983015383902174,15.0,0.8454880156646785,0.2052640311382388,Inositol monophosphatase 1 ,7.0,HCC
Q15555,0.3949799063247474,12.0,0.8054207837146874,0.19818322347206838,Microtubule-associated protein RP/EB family member 2 ,8.0,HCC
P21266,0.38531713727871936,15.0,0.692920351470404,0.11434868675382252,Glutathione S-transferase Mu 3 ,9.0,HCC
O75475,0.3561532389821228,2.0,0.29670075481458547,0.08020157240489227,PC4 and SFRS1-interacting protein ,10.0,HCC
Q9BZQ8,0.3177728363325937,1.0,0.2432372376795262,0.04889536024230989,Protein Niban 1 ,11.0,HCC
Q8WUF5,0.31582456368289513,4.0,0.21415488971287178,0.07278352977991014,RelA-associated inhibitor ,12.0,HCC
P52594,0.30569358388057655,14.0,0.843499818713915,0.21915288120822463,Arf-GAP domain and FG repeat-containing protein 1 ,13.0,HCC
O60264,0.3038150501037391,1.0,0.3102472192725634,0.20618084789686375,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 ,14.0,HCC
P80723,0.2974631223088008,3.0,0.4182153442277087,0.009694460453644114,Brain acid soluble protein 1 ,15.0,HCC
O00592,0.2961994218529188,4.0,0.20607283616292693,0.006786813688547145,Podocalyxin ,16.0,HCC
Q9BW60,0.29499369250482743,3.0,0.2509563963033925,0.1438551019927318,Elongation of very long chain fatty acids protein 1 ,17.0,HCC
Q8NI08,0.29492351643480885,4.0,0.19582801742382316,0.07880806068707726,Nuclear receptor coactivator 7 ,18.0,HCC
Q53EP0,0.28273299348784553,12.0,0.5969644198745043,0.04378861943760678,Fibronectin type III domain-containing protein 3B ,19.0,HCC
Q9UIQ6,0.27832575011428523,3.0,0.23610783078327535,0.06093505947950237,Leucyl-cystinyl aminopeptidase ,20.0,HCC
P11498,0.27596663495133633,15.0,0.8187368949277418,0.06830639115537958,"Pyruvate carboxylase, mitochondrial ",21.0,HCC
P21980,0.27031392891124917,13.0,0.7333716907978778,0.09895256482202072,Protein-glutamine gamma-glutamyltransferase 2 ,22.0,HCC
P46821,0.26621597693238397,1.0,0.10071167403362291,0.005889127265051596,Microtubule-associated protein 1B ,23.0,HCC
P05783,0.26584354832021995,15.0,0.6846361156765668,0.09403472713569039,"Keratin, type I cytoskeletal 18 ",24.0,HCC
P08670,0.2547132568895627,2.0,0.2892133792613518,0.03209757461989609,Vimentin,25.0,HCC
Q8IWE2,0.2523639422462408,12.0,0.7637791094189093,0.09607864737292816,Protein NOXP20 ,26.0,HCC
P20700,0.24967033813719833,14.0,0.78058684235579,0.08364081937974674,Lamin-B1,27.0,HCC
Q92616,0.2375584835945246,2.0,0.29734313803515455,0.31828560345963575,eIF-2-alpha kinase activator GCN1 ,28.0,HCC
Q96CX2,0.23400354104739046,3.0,0.22129453203213711,0.0117112880669803,BTB/POZ domain-containing protein KCTD12 ,29.0,HCC
Q9NUQ3,0.22925931882609385,4.0,0.4395605413193522,0.0730402298448367,Gamma-taxilin ,30.0,HCC
P17301,0.227047081085902,13.0,0.7542648552515752,0.062182303294234645,Integrin alpha-2 ,31.0,HCC
Q3KQU3,0.22275728619601728,2.0,0.34561274701592914,0.2353989474301947,MAP7 domain-containing protein 1 ,32.0,HCC
P19174,0.20712042422939964,3.0,0.2887452799712047,0.03438979625120001,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 ",33.0,HCC
Q16762,0.20512528188255735,15.0,0.7365926383198244,0.11358719599500369,Thiosulfate sulfurtransferase ,34.0,HCC
Q96TA1,0.17711359421913142,5.0,0.4643680512793724,0.2083821761609191,Protein Niban 2 ,35.0,HCC
P78417,0.16668473310806298,15.0,0.8804411307901557,0.12618496928815376,Glutathione S-transferase omega-1 ,36.0,HCC
Q9UKN8,0.1638472142053885,6.0,0.22700287599317726,0.1473578034597882,General transcription factor 3C polypeptide 4 ,37.0,HCC
Q9UDT6,0.16348685736364832,14.0,0.6526869412817152,0.00013624796198471862,CAP-Gly domain-containing linker protein 2 ,38.0,HCC
Q9UJC3,0.15861275695511984,6.0,0.3889256509909902,0.2678379567704321,Protein Hook homolog 1 ,39.0,HCC
P16989,0.15752474004704828,2.0,0.47721341418671126,0.1295554958497679,Y-box-binding protein 3 ,40.0,HCC
P11766,0.15512408965854618,15.0,0.8015332140117231,0.13414926618353804,Alcohol dehydrogenase class-3 ,41.0,HCC
Q9Y223,0.1370821549154049,12.0,0.6613390229058799,0.18189329243702052,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase ,42.0,HCC
P46013,0.12679256550672574,3.0,0.26794697544342294,0.02360245099107566,Proliferation marker protein Ki-67 ,43.0,HCC
P12956,0.12591442840221873,15.0,0.8101270860288341,0.15821603904075288,X-ray repair cross-complementing protein 6 ,44.0,HCC
P05787,0.12032662807504631,14.0,0.7577139561798651,0.07341418219716453,"Keratin, type II cytoskeletal 8 ",45.0,HCC
P17655,0.11906363024753237,2.0,0.46464518755613426,0.3081079160952523,Calpain-2 catalytic subunit ,46.0,HCC
P16401,0.11294602135205822,3.0,0.4618098025283196,0.16291953012175475,Histone H1.5 ,47.0,HCC
Q92922,0.11290010284514376,5.0,0.2942913145420194,0.1806046642011164,SWI/SNF complex subunit SMARCC1 ,48.0,HCC
Q15149,0.10833929378887897,13.0,0.6749924561549722,0.3832103951068679,Plectin ,49.0,HCC
P30038,0.10667893999362604,15.0,0.5944223291588822,0.5653269715486816,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial ",50.0,HCC
Q9UGI8,0.10615512151046932,14.0,0.7648575155735436,0.3343864983914431,Testin ,51.0,HCC
P61978,0.10420088802319169,14.0,0.8356901912792188,0.1262947298975229,Heterogeneous nuclear ribonucleoprotein K ,52.0,HCC
P26006,0.1029394504223902,7.0,0.34804137278928016,0.28635011948286,Integrin alpha-3 ,53.0,HCC
Q9Y5B9,0.10209433786840388,3.0,0.49930823417318027,0.02867329229928131,FACT complex subunit SPT16 ,54.0,HCC
P19367,0.10137293269194825,3.0,0.6021425348018878,0.21594227988899184,Hexokinase-1 ,55.0,HCC
P30740,0.1013025856448171,11.0,0.7455926503577871,0.08004010897982618,Leukocyte elastase inhibitor ,56.0,HCC
Q08380,0.0970024849585034,11.0,0.667510344600244,0.12990057468891247,Galectin-3-binding protein ,57.0,HCC
P16403,0.0965946426619645,2.0,0.31682369631693097,0.3875110259569124,Histone H1.2 ,58.0,HCC
P50552,0.09588983234930532,15.0,0.8356914404309177,0.1057127454031042,Vasodilator-stimulated phosphoprotein ,59.0,HCC
Q9Y490,0.0921953510013621,1.0,0.4905948462958498,0.07782073409399935,Talin-1,60.0,HCC
Q16352,0.0921458998716288,4.0,0.22736452624306602,0.21929192602131323,Alpha-internexin ,61.0,HCC
P18206,0.09145438261359747,1.0,0.619251660427258,0.10127786606138103,Vinculin ,62.0,HCC
Q9NS86,0.09107773172799745,1.0,0.24583477412309596,0.017209581713881515,LanC-like protein 2 ,63.0,HCC
P49720,0.08399159147554028,14.0,0.7880372436957316,0.023697392212435102,Proteasome subunit beta type-3 ,64.0,HCC
O43707,0.0838324174239569,13.0,0.7619633011199136,0.30420471620638617,Alpha-actinin-4 ,65.0,HCC
P12814,0.08267217646015622,12.0,0.6757149775290212,0.18876684122913953,Alpha-actinin-1 ,66.0,HCC
P12270,0.077922299182202,4.0,0.44119292599734194,0.04601589347553061,Nucleoprotein TPR ,67.0,HCC
Q9UQE7,0.07592555968224225,4.0,0.578101234430527,0.03504279793492206,Structural maintenance of chromosomes protein 3 ,68.0,HCC
P48960,0.0654252606348087,5.0,0.4155489229322915,0.11783913366302132,Adhesion G protein-coupled receptor E5 ,69.0,HCC
